text,trans
隣にいると、もっと頑張りたいな、もっと頑張るぞって、\n自然と気合が入っちゃうんです！　だから、\nプロデューサーさんの隣って、パワースポットなんですよ！,
……あれ。また見つかっちゃいましたね……！\nこれはみんなには内緒のチョコなので──\nプロデューサーさん、共犯しましょう！　どうぞです！,
……えへへ。プロデューサーさんは、\nいつも私と正面から向き合ってくれますよね\nそういうのは……とっても。とっても、安心しちゃいます,
実を言うとですね……本当にちゃんとアイドルできるか、\n最初は心配だったんです。……でも、今は大丈夫ですよ！\n一緒なら乗り越えられるって、ちゃんと知ってますから！,
──園田智代子は、プロデューサーさんのおかげで、\n今日もチョコアイドルとして元気に活動できています──！\nだから……いつもありがとうございます、ですよ！,

#树里↓,
アンタにはいつも助けられてばっかで……その、悪い\n──え……お、お礼の方がいいとか言うな！　誰かを頼りに\nするとか……そういうの、あんまり慣れてねーんだよ……！,
アイドルなんて、アタシのガラじゃない\n……けど、何かに向かってがむしゃらに突っ走るのは、\n結構好き……だと、思う,
トップになるにはまだまだ遠い……\nでもなんでだろーな、アンタとなら叶えられる気がするんだ\n……ナンバーワンも夢物語なんかじゃない、よな！,
ほんと、アンタってなんか危なっかしいんだよなー……\nちゃんと気を付けろよな\nこれでも……頼りにしてるんだからさ,
みんなで集まると、騒がしいし大変だけど……\nこのメンバーでよかった、会えてよかったって思ってるよ\n……もちろん、アンタにもだからな……！,
今ならきっと、歩き出せる気がする\nアタシは……前に進みたい,
いつまでも背を向けてちゃ、見えないことが\nあるんだよな……。アタシ、アイドルになってから\n色んなことに気付けた気がするよ,
──ん。これ、アンタに差し入れ。チョコがパウンドケーキ\n作るって言うから、それ手伝ったついでっつーか……\nや、えーと…………とにかく受け取れ！！,
失くすくらいなら、手にしなきゃいいって思ってたけど……\n大事なもの、ちゃんと守れるくらい──\nアタシが強くなればいいだけなんだよな,

#凛世↓,
いえ……わざわざ申し上げることでは……\n──桜が……咲いております……\nプロデューサーさま……,
草笛……\nお上手で……ございます……\nでは……凛世も……,
貴方さまを……お待ちして……\n額づいているのです……\n夕顔は……,
風の鈴……\n心……燃えるような音……,
鰯雲です……\nふふ……\nお腹が……鳴っております……,
十三夜の……月よ……\n叶うなら……\n叶うなら……──,十三夜的月亮啊……\n如果能实现的话……\n如果能实现的话……——
小鳥来る窓に……\n貴方さまを……お待ちしましょう……,
雪蛍……\nゆきつ……もどりつ……\n君のうえ……,
ご一緒に……参りましょう……\n木の芽風に……\n誘われるまま……,

#夏叶↓,
やるじゃない、プロデューサー\nこのままトップを目指して、駆け抜けるわよ！\nちゃんと私についてきてちょうだい！,
悪くないわ、プロデューサー\nでも……トップになるためにはまだまだよ！\n一秒だって無駄にはできないわ！,
いい感じだわ、プロデューサー\nだけど、最高のパフォーマンスのためには\n適度な休息が不可欠よ。少し休憩しましょう！,
その調子よ！　プロデューサー\n次のレッスンまでは少し時間があるみたいだし……\n一緒に走りに行きましょう！,
お疲れ様、プロデューサー\n一緒に紅茶でもどうかしら？　ニルギリ、ウバ、\nキーマン……どれもリラックス効果があるものよ！,
やったわね！　プロデューサー！\n私もアナタに負けていられないわ……\nうふふ、一緒にレベルアップしていきましょうね！,
それでこそよ！　プロデューサー\n隣で、ちゃんと見守っていてちょうだい！\n私、期待に応えるのは得意なのよ,
さすがよ、プロデューサー\n私のことはなんでもお見通しなのね\nどうして……掛けてほしい言葉がわかるのかしら……,
ありがとう、プロデューサー\nアナタがいたからここまで来れたの\n──だから、これからも……一緒よ,

#甘奈↓,
プロデューサーさん、お疲れさま！\n甘奈のアイドルとしての日々は始まったばかりだけど\nこれからもよろしくねっ！,制作人，辛苦了！\n甘奈作为偶像的日子虽然才刚开始起步\n从今以后也拜托你了！
甘奈、プリンすっごく好きなんだ～\nそれでね、この前めっちゃ美味しいの見つけたの！\n今度持ってくるから、一緒に食べよ？,甘奈，超喜欢布丁的～\n所以呢，之前发现了超美味的布丁！\n下次带过来一份，一起尝尝吧？
ねぇねぇ、次の衣装のイメージって、決まってたりする！？\nもし、まだだったら、甘奈\nちょっと使ってみたいモチーフがあるんだよね！,下个服装的概念，决定下来了吗！？\n要是还没有的话，甘奈\n有几个想要尝试的主题呢！
この前のお休み、甜花ちゃんと一緒にお菓子作ったんだよ！\n上手にできたから、持ってきちゃった\nはい！　どーぞ☆　プロデューサーさん！　えへへ,之前的休息日，和甜花一起做了点心哦！\n因为做的很不错，就带过来啦\n给！ 请☆　制作人！ 诶嘿嘿
え～！　お昼買ってくるの忘れちゃったの！？\nそれじゃ、甘奈、今日はお弁当持って来てるから\nわけてあげるっ！,诶～！　忘记买午饭了吗！？\n那，甘奈，今天带了便当过来\n分给你一点吧！
甘奈の写真、ツイスタにアップしたいんだ～\nプロデューサーさんはどれがいいと思う？\n一緒に選んでくれたら嬉しいなっ☆,甘奈的照片，想上传到推特啊～\n制作人觉得那张比较好？\n如果能一起选就太好了☆
甜花ちゃん、千雪さん、プロデューサーさん……\nみんなと一緒にいる何気ない時間が甘奈は大好き\nこれからもずーっと、大切にしていきたいな,甜花，千雪姐，制作人……\n和大家一起度过的闲暇时光，甘奈最喜欢了\n今后也要用永ー远，珍惜这段时间
甘奈、アイドルの活動ノートをつけてるんだけどね\n見返してみたら、すっごく心が温かくなって\nまた頑張らなきゃって気持ちになったんだ,
ノート、昨日でいっぱいになったんだ\nとっても幸せな一冊ができたと思う……\nありがと、プロデューサーさん！,

#甜花↓,
甜花……いっぱい、頑張った……\n今日の甜花は……おしまい……\nあとは……明日の甜花が……頑張る……,甜花……非常，努力了……\n今天的甜花……就此为止……\n剩下的……就让明天的甜花……加油吧……
もうすぐ……発売日……\n甜花の大好きな……超大作シリーズの、新作……\nだから、今日のお仕事は……いっぱい、頑張る……！,马上就是……发售日……\n甜花最喜欢的……超大作的续作……\n所以，今天的工作要……好好努力……！
諦めるの……甜花、得意で、慣れてて……楽だけど……\nでも、好きじゃないし……\n諦めたくないことも、たまに……ある、かも……,甜花……虽然很容易就放弃，也很习惯并接受了它……\n但、并不是因为喜欢才……\n偶尔……也有不愿放弃的事……
……あ……プロデューサーさん……おはよ……\n……おやすみなさい……\n……あと、５分だけ……,……啊……制作人先生……早上好……\n……晚安……\n……再睡，五分钟就好……
プリンと……チョコプリン……\nあうう、選べない……\n……プロデューサーさん……どっちかしか……だめ？,原味布丁……巧克力布丁……\n啊呜呜，好难抉择啊……\n……制作人先生……只能选一个吗？
あ、なーちゃ……あれ……？\n……に、にへへ……\nなーちゃんとプロデューサーさん……間違えちゃった……,啊，小奈……咦……？\n……诶嘿嘿……\n把小奈和制作人先生……弄混了……
……ん……んん……？\n……あ、ぷろりゅーさーさん……だあ……\n……にへへ……すう……すう……,……嗯……嗯……？\n……啊、是制作人……先生啊……\n……诶嘿嘿……呼……呼……
早寝……寝坊……二度寝……三度寝……\nあと……お昼寝……\n……にへへ、みんな……好き……,睡觉……睡懒觉……睡回笼觉……睡回笼回笼觉……\n还有……睡午觉……\n……诶嘿嘿，大家……最喜欢了……
甜花も、頑張る……！\nいっぱい頑張って、えと、まずは……え、えと、えっと……\n……頑張るの、お昼寝してから……,
甜花、失敗しちゃっても……\nプロデューサーさん、なんとかしてくれる……\nにへへ……甜花とプロデューサーさんの……連携技……！,
甜花の……プリン……\nプロデューサーさんに……\nひとくちなら、いいよ……！,

#千雪↓,
最近、自分の小さなことが気になっちゃうんです\nたとえば、前髪に変なクセがついてないかなぁとか\n……これって、アイドルになったからなんでしょうか？,最近，总是特别留意自己身上的细节\n比如说，刘海有没有变乱了什么的\n……这，是因为成为了偶像的缘故吗？
私、まだまだできないことも、わからないことも\nたくさんあって……。なので、プロデューサーさん\n見守っていてくれると、嬉しいです……！,我，还有很多很多做不到的事和不清楚的地方\n所以，制作人先生\n要是能好好地守护我的话就好了……！
甘奈ちゃんと、甜花ちゃんと……プロデューサーさんと\n私がこうしてここにいることは、運命なんだって\n思ってしまうのは……大げさでしょうか？,小甘奈和小甜花……还有制作人先生\n“我能像现在这样和你们站在这里，可能都是命运的安排吧”\n有时候我会这么想……是不是太夸张了？
プロデューサーさんとお話しすると、\n今日も頑張るぞーって気持ちになれるんです\nだから、明日も明後日も会えたらいいなぁ～、なんて……！,和制作人聊过天后，\n总会产生一种“今天也要加油哦”的感觉\n所以，要是明天和后天也能相遇就好了～，什么的……！
憂鬱だと思っていた雨の時間……最近は、雨上がりの空気を\n待つようになりました。──人は、小さなきっかけで、\nこんなにも大きく変わってしまうものなんですね,原本让人觉得很郁闷的雨……最近，却开始期待雨后的空气了。\n──人啊，仅仅因为一个很小的契机，\n却会产生这么大的变化呢
よく、思ってることが顔に出やすいって言われちゃうんです\nプロデューサーさんは、わからないですか……？　今は……\nええと、『そんなにじっと見ないでください』です～……！,我，经常被人说心里在想什么都写在脸上了\n制作人先生，能明白吗……？　现在\n那个，是“请不要那样一直盯着我看”……！
プロデューサーさん、お疲れですよね……\nもう少し休んでいても大丈夫ですよ\n私が目覚まし係になりますから。……ね？,
プロデューサーさんのこと、たくさん頼りにさせてもらって\nます。でも、それだけじゃなくて……頼ってもらえたら\n嬉しいんです。……もう、お互いに遠慮はなしですよ？,
プロデューサーさんが手をとってくださるから、\nただの、ひとりの女の子は、アイドルに──\n……ふふ、この魔法がずっと解けませんように,


#冬优子↓,
プロデューサーさん、これからもわたしと一緒に\n楽しいことを探してほしいっす！,
アイドルって楽しいっすね！\n次から次へとやりたいことが出てくるんす！\nホント、奥深いっすね！,
窓の外って色んな人が見えるから楽しいっすよね！\nプロデューサーさんも一緒にどっすか？,
楽しそうなことの基準っすか？\nそんなこと考えたこともなかったっす！\n見た瞬間にわかっちゃうっすよ！,
この前のライブ、わたしが一番練習したとこで\n盛り上がりが最高潮になったんすよ！\n狙いがしっかり当たると嬉しいっすね！,
最近はやりたいことがあっても\n無理しないようにしてるっす。ケガとかしたら\nプロデューサーさんに迷惑かけちゃうっすから,
待機時間ってじっとしてなくちゃいけないから苦手っす\nだから、もっと一緒にいてくれないっすか？\nプロデューサーさんと話してると、時間が早く経つっす！,
プロデューサーさんが楽しいと思うことってなんすか！\n趣味はあるんすか？　好きな食べ物はなんすか？\nプロデューサーさんのこと、もっと知りたいっす！,
アイドルのこと、もっともっと突き詰めたいっす！\nそれで、絶対に究極のアイドルになるっす！\nプロデューサーさん、これからもずっと支えてほしいっす！,

#朝日↓,
プロデューサーさん、いつもふゆのこと見てくれて\nありがとうございます！\n……ふふっ、これからも、よろしくお願いします♡,
ねえ、ごはん食べ行くわよ！\n前に見つけたお店の、期間限定激辛……──何、その顔\nあんたなら、変な気遣い要らないでしょ？,
ほんとにふゆが、すごいアイドルになれるのかなって……\nたまに、たまに、だけど、不安になるの\nでも、あんたはふゆをスカウトしてくれたから……信じたい,
ふゆより可愛いとか、歌が上手いとか、そんな子もいるかも\nでも……あんたはふゆのプロデューサーなんだから、\nよそ見してたら許さないんだからね！,
今まで、上手くできないことばっかで、後悔もいっぱいした\nでも、だからこそあんたに会えたんなら──\n……ま、悪くないかなって,
……あんたも、嫌な時は嫌って言いなさいよ\nなんも言わないで、愛想つかすのだけは、だめ\n……ふゆ、言われないと、きっとわかんないから,
可愛い、かっこいい、すごい、素敵\nふゆ、そう言われるのが大好き\nでも……それよりあんたの、頑張ったなって言葉が嬉しいの,
ほんとに、ふゆでいいの？\nもっといい子とか、すごい子がいても、それでも──\n──……ふゆがいいって、言ってくれるの？,
ふゆがもっともっとすごいアイドルになったら、\nプロデューサーの仕事も大変になるかもね！！\nあははっ、そうなっても、苦情は受け付けないから！,

#爱依↓,
おっ、お疲れ～、プロデューサー\nうち、こんなカンジだけど、\nまーヨロシクね～,啊，你辛苦啦～制作人\n咱虽然是这个样子，\n总之请多多关照啦～
プロデューサー、マジサンキュね！\nプロデューサーがいなきゃ、うち、\nちょー苦労してたと思う！,制作人，真的多谢啦！\n要是没有制作人，咱肯定\n有够呛的！
普通にテレビ局入れたり、雑誌に載ったりさ\nいや、マジほんとヤバいよね！\nやっぱアイドルってすっごいわ！,进出电视台，登上杂志\n哇，这真是不得了的事！\n偶像真的很厉害呢！
聞いて～！\n昨日、家族がうちの出てた番組見ててさ～\n嬉しかったんだけど、ちょー恥ずかったわ～,听我说啊～！\n昨天，家人看了咱出演的节目～\n咱很高兴，却又超羞耻的～
プロデューサーって頭良さそうだよね～\n仕事、ちょー難しそうじゃん？\nうちだったら絶対無理だもんな～！,制作人脑子肯定很好吧～\n这工作超难做好的吧？\n换成咱的话绝对做不好呢～！
プロデューサー！　今度、カラオケどう？\n友達とはよく行くんだけどさ～、\nプロデューサーとも一緒に行ってみたいんだよね～,制作人！下次要去卡拉OK吗？\n咱经常会和朋友一块去～\n但也想和制作人去一次呢～
この前友達とちょー長電話しちった～\nマジ盛り上がると止まんないんだよね～！\nプロデューサーともちょー長くなりそ～！,前几天和朋友煲了电话粥～\n聊得太起劲根本停不下来～！\n和制作人似乎也会聊很久呢～！
うちなんかがステージに立てるなんて\n人生何があるかわかんないね～！\nマジプロデューサーとの出会いに感謝ってカンジだわ～,咱这样的人都能站在舞台上\n世事真是无法预料啊～！\n还真得感谢和制作人的相遇呢～
プロデューサーと一緒だったらさ\n絶対ハンパないアイドルになれる！\nこれからもヨロシク！　プロデューサー！,和制作人一起的话\n肯定能成为超厉害的偶像！\n今后也请多多关照啦！制作人！
プロデューサーをひと言で表すと……\nあ！　『完璧超人』！\n次に書く字、これにしよーっと！,用一句话来形容制作人的话……\n啊！“完美超人”！\n下次练字就写这个吧！
このあたしも……うちの大事な一部……\nだから……必ず好きになってもらう……\nそれまであきらめないから……絶対……！,这个“我”……也是“咱”重要的一部分……\n所以……肯定会让大家喜欢上她的……\n不做到誓不罢休……绝对……！

#透↓,
え、信頼してるかって……\nプロデューサーのこと？\nうーん……,诶，信任制作人吗\n嗯……
お疲れ、いろいろ\n──え\nもっとなんかいう感じ？,辛苦了，各种意义上\n——诶\n要再多说点什么吗？
昨日お母さんがさ、\nプロデューサーによろしくって\n──あれ、昨日だっけ……忘れたけど,昨天妈妈，\n托我给制作人说句辛苦了\n──咦，是昨天吗……记不清了
なんか、いつもと違わない？\nなんか違うって──\nあ、髪切った？,总感觉，和平常有些不一样？\n哪里不一样呢──\n啊，理发了吗？
今日はさ、\nお互い頑張ったこと褒め合おうよ\n先攻、どうぞ,今天啊，\n我们互相称赞对方为之努力过的事情吧\n先手，请
プロデューサーさ\n先生もやれたんじゃない？　高校とかの\n私、プロデューサーが担任でもいいよ,制作人\n是不是担任过老师呢？ 高中的\n我，让制作人来当我的班主任也可以哟
ねぇ、夢とか見る？\n誰か……出てきたりするかな\n──私とかさ,呐，有做梦吗？\n有谁……出现在梦里吗\n──比如我
え、信頼してるかって……\nプロデューサーのこと？\n──ふふっ、どうだろ,诶，信任制作人吗\n──呵呵，谁知道呢
なんか、ありがと言うタイミングなくて\nないっていうかなんだろ……\nごめんね、今になって。ありがと,总觉得，抓不准说谢谢的时机\n或者该说是没有吗……\n抱歉啊，现在才对你说。谢谢你
ふふっ\nまだまだ長いよ\n人生,呵呵\n还长着呢\n人生
運命って、信じる？\n私は……\n私は、わかんないけど,你相信命运吗？\n我啊……\n我可不知道

#圆香↓,
用もないのに話しかけないでください\nその、にやついた顔も見たくありません\n端的に言えば、あなたの存在そのものが不快です,没什么事情就不要和我搭话\n那张令人生厌的脸我可不想看见\n直截了当地说，你的存在就很让我不爽
私の成功は、あなたの成功にも繋がるってことですか\nそう考えると何もやる気が起きませんね……\n私のことは放っておいてください,我的成功，和你的成功紧密联系在一起吗\n一想到这点就没什么动力了……\n请不要管我的事情
華やかな舞台に呼び寄せて、現実的な将来から遠ざけて……\n他人の人生にどこまで責任を持てるんですか？\n早く答えてください,
努力、根性、希望、理想……\nそれらが正しいと信じて疑わないところ、\n本当にオールドタイプですよね,努力，毅力，希望，理想……\n对这些深信不疑的这一点\n真的是个old type啊
私は私のペースで、あなたはあなたのペースで、\nお互いの領域を侵さない形でお願いします\n……あくまでもビジネスライクで,我就按照我的节奏，你就按照你的节奏，\n请不要侵犯彼此的领域\n……说到底我们只是商业合作上的关系
あなたは少し他人に肩入れしすぎなんじゃないですか\nあなたにとって私は何？\n……近づかないで,你是不是有点太偏袒别人了\n对你而言我到底是什么？\n……别过来
もう空気みたいなものです\nそばにいるのが当然だし、楽だし、落ち着くし……\n……何、その顔。あなたのことじゃないんですが……ふふっ,就像是空气一样的东西\n在身边理所当然的存在着，让我感到轻松和安心……\n……干什么啊，那副表情。又不是在说你……呵呵
そばにいてもいいとか、\n私が許可を出すわけないですよね？\nだから……あなたが勝手にそばにいるだけでしょ,能不能待在我身边，\n这种事情我怎么可能会同意啊？\n所以……都是你擅自待在我的身边的
あなたのやさしいところ、情に厚いところ、\n結構ドジだったり、ユニークだったりするところ……\nそうやって私を騙そうとするところ、全部大嫌いです,你温柔的地方，看重感情的地方，\n相当笨拙，却又很独特的地方……\n就这样把我欺骗的地方，全部都最讨厌了

#小糸↓,
ぴゃ……！？\nななななんですか……！\n何か用事ですか……！？,呀……！？\n怎怎怎怎么了吗……！\n有什么事吗……！？
ぴぇ……！？\nな、なんだ……\nプロデューサーさんですか……,呀……！？\n什，什么啊……\n是制作人先生啊……
えっと、あの……\n──え！\nこのお菓子貰っていいんですか？,呃，那个……\n──诶！\n可以收下这个点心吗？
え、えへ……\nわ、わたしにかかれば\nこのくらいよゆーですよ……！,诶，诶嘿嘿……\n交，交给我的话\n这种程度轻轻松松……！
え、えへへ……\nべ、別に喜んでないですよ\nこれが普通で当たり前ですから……！,诶，诶嘿嘿……\n并，并没有感到高兴哦\n这种程度很普通，理所当然的啦……！
ぷ、プロデューサーさんは\nわたしがいないとだめだめ\nなんですからー！,制，制作人先生\n要是我不在的话\n就变得不行了呢ー！
わ、わたしも……！\nプロデューサーさんがいないと\nだめだめかもしれないです……,我，我也……！\n要是制作人先生不在的话\n就可能变得不行了……
わ、わたし、もっと頑張ります\n頑張って……それで……\nもっといい福丸小糸になります……！,我，我，要更加努力\n努力……然后……\n变成更棒的福丸小糸……！
わ、わたし……\n頑張れるのが、嬉しいんです\nプロデューサーさんがいるから……！,

#雏菜↓,
あは～\nプロデューサー！\nお疲れさまです～♡,啊哈～\n制作人！\n辛苦了～♡
雛菜はアイドルやって～\n毎日楽しくて\nしあわせ～って感じ！,雏菜成了偶像之后～\n感觉每天都既开心\n又幸福！
ね、プロデューサー\n雛菜のいいところ\n５個言ってみて～？,呐、制作人\n雏菜的优点\n说五个试试看～？
え～～～\n今よりもっと頑張るの～？\n雛菜、頑張ってるよ～？,唉～～～\n还要比现在更加努力吗～？\n雏菜已经很努力了哦～？
ん～、雛菜\nなんか甘い物食べたい～\nプロデューサーも行こ～？,嗯～，雏菜\n想吃点甜的～\n制作人也一起去吧～？
ん～～～\nプロデューサーも\n休んだほうがいいですよ～？,嗯～～～\n制作人也\n休息一下比较好哦～？
ね、プロデューサー\n雛菜のわるいところ\n５個言ってみて～？,呐、制作人\n雏菜的缺点\n说五个试试看～？
雛菜がアイドルやって～\nプロデューサーも\n毎日楽しくてしあわせ～？,雏菜成了偶像之后～\n制作人也\n每天既开心又幸福～？
やは～♡\n雛菜、プロデューサーのこと\nすきかも～,呀哈～♡\n雏菜，可能\n喜欢制作人～
ん～、今日はマカロンの気分～～～？\nプロデューサーは～～～？,嗯～，今天就选马卡龙～～～？\n制作人呢～～～？
ね、プロデューサー\n雛菜をプロデュースできてしあわせ～？,呐，制作人\n培育雏菜，幸福吗～？

#日花↓,
……うわー\nシャツとネクタイ合ってなくないですか？\n言うだけ言っときますね,……呜哇\n你这衬衫不是和领带不搭嘛？\n别说我没提醒过你啊
昨日、お姉ちゃんが────\n────あっ、すみません\nこれ言っちゃダメなやつでした,昨天，姐姐她啊——\n——啊，抱歉\n这个不能对外人说
好きな曲、教えてくれません？\nダウンロードしとこうかなって\n──あー、プロデューサーさんに興味はないですね,你喜欢的歌曲，能和我说说吗？\n我想下来听听\n——啊，并不是对制作人感兴趣
なんか、ありがとうございますー\n──洗いますけど。お弁当箱くらいだったら\n何って……お礼ですよー！,怎么说呢，一直以来多谢了\n——可以帮你刷一下哦。如果是便当盒的话\n为什么……因为是回礼哦——！
一回、めっちゃくちゃ甘やかしてくれません？\n過保護憧れるんですよねー\n──えっ、甘えてないですよねいつも！　私！？,能不能不讲道理地惯着我一次？\n我很憧憬被人过度保护的呢～\n——诶，我可没有老是撒娇啊！？
シャンプー、何使ってます？\nなんだろう……\nなんか、かいだことある匂い,你用的，是什么洗发水？\n怎么说呢……\n总觉得，闻起来很香
贔屓目なしに、ですよ\n贔屓目なしに、私、どのくらい可愛いですかねー？\nプロデューサーさん基準でいいので！,要不带私心地回答哦\n不带私心地回答，我，到底有多可爱？\n以制作人的标准回答就好！
保護者懇談の日、お姉ちゃん忙しいんですよねー\n……来ます？　プロデューサーさん\nどうせその日って、私のレッスンついてくるだけですよねー？,家访那天，姐姐会很忙吧\n……那你要过来吗？制作人\n反正那天，也正好是我的训练日吧？
プロデューサーさんでよかったです\nあの時は……\nプロデューサーなら誰でもいいって、思ってたけど,我的制作人是你真是太好了\n虽然那时……\n我有想过，只要有人来做我的制作人，谁都可以
にちかの質問なんでもお答えライブ始めますー\n聞いていいですよ、なんでも\nプロデューサーさん限定で、答えますんで！,日花的任意问答节目开始了哦～\n请提问吧，什么问题都可以\n回答的对象，仅限制作人！
一緒に聴きましょ？　これ\nめっっちゃくちゃ、いい曲なんです\n──ひとりで聴きたくなくって……なんとなく,一起来听吧？　这首\n非常非常棒的曲子\n──总觉得……我不想一个人听

#美琴↓,
……２８３プロには\n正直、まだあまり\n馴染めていない気がするの,……说真的\n我还不怎么\n适应283事务所
…………！\nあ、ごめんね\n今、何か言ってた？,…………！\n啊，抱歉\n你刚才说了什么吗？
すごいって、褒めてくれるのは\nありがたいけど……\n当たり前のことしかしてないよ,你能这样夸奖我\n我真的很感激……\n我只是做了理所当然的事而已
『２８３プロ、シーズの\n緋田美琴』です……\nなんだか、慣れてきたかもね,“我是283事务所，SHHis的\n绯田美琴”……\n总感觉，已经习惯了
差し入れで嬉しいもの……\nなんだろう\nあまり重くないものがいいかな？,喜欢的慰问品……\n是什么呢\n不太重口的就行了吧？
今欲しいもの……\n急に言われると難しいね\n自分専用のレッスン室とか？,现在想要的东西……\n突然这么问我也答不上呢\n比如说专属练习室？
……あ、ごめんねプロデューサー\nレッスン室の鍵、\n返し忘れていたみたい,……啊，抱歉啊制作人\n我好像\n忘记把练习室的钥匙还回去了
今日食べたもの？\nええと、何食べたっけ……\nあ、まだ何も食べていないのかも,今天吃过的东西？\n我想想，是吃了什么来着……\n啊，好像还没吃呢
２８３プロって、やっぱり\n良い事務所なんだと思うの\n……少し、変わっているけどね,我觉得，283事务所\n真的很不错\n……只是，有点独特呢
あ、これ好きなやつ\nどうしてわかったの？\nすごいね,啊，这是我喜欢的\n你为什么会知道呢？\n很厉害呢
……お疲れ様\nはい、コーヒーで良かった？\n休憩、少しだけね,……你辛苦了\n要来杯咖啡吗？\n稍微，休息一会儿吧

#Fes审查员↓,
他のステージの方が楽しそうだな,其他舞台看起来更有趣啊
なんか期待外れだ…,真是令人失望…
じっとしていられないね！,这不是根本没在动吗！
もっと声出してもらわないと,声音再大些啊
新しい表現も見せて欲しいですね,想看些新的表现方式啊
センターのボーカル、良いですね,CENTER的唱功，不错嘛
動きのキレがいまいちだな,动作不够灵活啊
ガツーンとくるもの見せてよ,我想看点来劲儿的
センターのダンス、イイねぇ！,CENTER的舞步，不错嘛
笑顔が固いなぁ,笑容太僵硬了
もっと良いとこ見せて〜,想看看你更出色的表演～
センターのビジュアル、しびれる〜,CENTER的形象，真迷人啊～
いい顔してる\nドキドキするわ,表情太棒了\n看得我心砰砰直跳
歌詞が違う……\nがっかりです,歌词唱错了……\n真令人失望
空っぽですね\n何も感じません,好无聊\n一点感觉都没有
練習量を感じる\n……完璧です,能感受到练习量\n……太完美了
動きがかたい\n柔軟したの？,动作太僵硬了\n能不能柔和一点？
あ、ミスったね\nごまかせないよ,啊，失误了呢\n别想蒙混过关
ビックリだ……\nすごくウマい,太惊讶了……\n非常拿手呢
衣装が乱れてる\nしっかりなさい,衣服乱了\n给我注意点
ダメダメね……\n輝いてないわ！,完全不行呢……\n根本没在发光！
それじゃダメ\n可愛くないわ,这样是不行的\n一点也不可爱
可愛いわあ……\n虜にされちゃう,真可爱……\n要被俘虏了
もう帰ろうかな…,该回去了吧……
こんなものか…,就是这样吗……
サイコーのステージだ！,最棒的舞台！
音程が……\nダメですね,
良い顔です\n歌を楽しんでいる,
めちゃくちゃ！\nリズムが全然！,
動きがかたい\n柔軟したの？,
いいねえ\n心にくるぜ！,
それじゃダメ\n可愛くないわ,
衣装が乱れてる\nしっかりなさい,
ひゅーっ！\n衣装顔負け！,

#真乃（缺对其他人少第二轮的4个语音，三四轮的一突语音）↓,
むんっ、\n今日も頑張りましょうっ,呣嗯\n今天也加油吧
こんにちは、プロデューサーさんっ,你好，制作人
ほわぁ、\n今日はどんなことするんでしょうか？,哇啊\n今天要做什么？
何かが掴めそうな\n気がしますっ,感觉我今天能学到些什么
えっと……ダメです\nプロデューサーさん,呃……不可以\n制作人先生
プロデューサーさんて、\nそういうことする人\nだったんですか……？,制作人先生\n原来是做这种事的人啊……？
こんなの…………\n……ショックです,这种事…………\n……太伤心了
急にこんなこと……\nどうしてですか……？,突然间做这种事……\n为什么呢……？
ひゃっ！\n……うう、困ります,呀！\n……呜呜，真为难
え……？\nプロデューサーさんが\nこんなことするなんて……,哎……？\n制作人先生\n竟然做出这种事……
プロデューサーさん、\nどうしたんですか……？,制作人先生\n怎么了……？
ほわぁ、何をすれば\nいいんですか……？,呼哇，我应该做什么呢……？
……ぽかぽかお天気で\n眠くなってきました,……天气暖洋洋的\n让人想睡觉了
お疲れ様です！\nプロデューサーさんっ\n今日も頑張りますねっ,辛苦了！\n制作人先生\n今天也要加油哦
プロデューサーさん！\n最近お仕事が楽しいんですっ,制作人先生！\n最近工作起来感觉很开心呢
今日も元気です！　むんっ\nプロデューサーさんはお元気ですか？,今天也很有精神!　呣嗯\n制作人先生也有精神吗？
プロデューサーさん……？\nあ、あの……えっと,制作人先生……？\n啊，这……那个……
もう……\n恥ずかしいですよ、\nプロデューサーさん……,真是的……\n好害羞啊，\n制作人先生……
ひゃぁっ！\nく、くすぐったいです……\nプロデューサーさん,呀！\n好、好痒啊……\n制作人先生
ほわぁ……、\nマッサージですか？\n気持ちいいです……,呼哇……，\n是按摩吗？\n真舒服……
ふふっ、\nくすぐったいですよっ,呵呵，\n好痒哦
ひゃっ！？　……あっ\nプロデューサーさんでしたか\n少しびっくりしちゃいました,呀！？　……啊\n是制作人先生吗\n有点吓到我了
プロデューサーさーんっ\n私、待ってますよっ,制作人先生\n我，等着你哦
えっと、早くしないと\nレッスンの時間になっちゃいますっ,那个，不快一点的话\n就要到上课的时间了哦
今度のお休みに、一緒に\n日向ぼっこしませんか？,下次的休息，要不要\n一起去晒太阳？
マシュマロクッキーを作ったんです。プロデューサーさんも、おひとついかがですか？,我做了棉花糖曲奇\n制作人先生，要尝一个吗？
ほわっ……このプレゼントは……？　えっと、あのっ……あ、ありがとうございますっ,哇……这份礼物……？\n那个……非、非常感谢
あ、ありがとうございますっ\n……大事に、いただきますね\nプロデューサーさん……っ,非常感谢\n……我会好好品尝的\n制作人先生
ふふっ、いろんな色の七夕飾りを見ていると、なんだかウキウキしてきますっ,看到各种颜色的七夕装饰后\n总感觉很开心呢
お月さまの光はふんわりしていて、ピーちゃんの羽みたいにとっても優しいです,月亮先生的光非常柔和\n就像小P的翅膀一样
